Unix time (s) ; acc_z (m.s^-2) ; speed_z (m.s^-1) ; pos_z (m)
1535462335.88 ; 0.00454307973403 ; 0.0262085859467 ; 0.0327507152702
1535462336.45 ; -0.0646157725989 ; 0.00310462145399 ; 0.0341622515972
1535462337.01 ; 0.174403309523 ; 0.0113271282123 ; 0.0318508768008
1535462337.57 ; 0.593105371149 ; 0.0757272083728 ; 0.0469450656254
1535462338.13 ; -0.30173220585 ; 0.0525581970688 ; 0.0691872956492
1535462338.7 ; -0.432067634851 ; -0.0512710411226 ; 0.0579577424335
1535462339.26 ; 0.476893985426 ; -0.0128879960174 ; 0.033261271398
1535462339.82 ; 0.0733135032625 ; 0.0472842043296 ; 0.0357790641316
1535462340.38 ; 1.09744184255 ; 0.12551622599 ; 0.0703147001689
1535462340.95 ; -1.03929926238 ; 0.047289405574 ; 0.0990953927025
1535462341.51 ; 0.072573606009 ; -0.0748646676832 ; 0.0761167363562
1535462342.07 ; 0.840890336927 ; 0.06067959679 ; 0.0601060947357
1535462342.63 ; -0.952992321976 ; 0.0097172874368 ; 0.066587185496
1535462343.2 ; 0.57354716591 ; -0.0323326813452 ; 0.0501890180304
1535462343.76 ; -0.711890689458 ; -0.0237468534852 ; 0.0286809585412
1535462344.32 ; 0.463420076396 ; -0.0312089874295 ; 0.0110209384823
1535462344.88 ; 0.0249547885781 ; 0.0353809251862 ; 0.0101618872036
1535462345.45 ; -0.267509710051 ; -0.010945400246 ; 0.0141951941216
1535462346.02 ; -0.154980725412 ; -0.0443554178149 ; -0.00149125533343
1535462346.59 ; -0.16075316884 ; -0.0443843512666 ; -0.0220405055176
1535462347.15 ; 0.754445576354 ; 0.0408615911009 ; -0.0191927008995
1535462347.71 ; -0.714427059399 ; 0.0173721534278 ; -0.00234579427754
1535462348.27 ; 0.372710074662 ; -0.0262442311138 ; -0.00403415567013
1535462348.84 ; -0.388363038105 ; -0.0102155000652 ; -0.0119067995943
1535462349.4 ; 0.175874153546 ; -0.0233252988011 ; -0.0177831811753
1535462349.96 ; 0.405898176906 ; 0.0467642994453 ; -0.0093259788327
1535462350.52 ; -0.205311324266 ; 0.0343924796017 ; 0.0112488260858
1535462351.09 ; -0.284660199796 ; -0.0344692881635 ; 0.00935602027323
1535462351.65 ; 0.0337143730057 ; -0.0350152259927 ; -0.00848825935503
1535462352.21 ; 0.427818540265 ; 0.0315955014479 ; -0.00787502022519
1535462352.77 ; -0.226763659029 ; 0.0293801936552 ; 0.00772825584026
1535462353.34 ; 0.0464977603357 ; -0.00710607884065 ; 0.0116605694576
1535462353.9 ; -0.112732640275 ; -0.00857794711546 ; 0.00604135499607
1535462354.46 ; 0.347424818923 ; 0.0191424512126 ; 0.00751044782871
1535462355.02 ; -0.467738139774 ; -0.00489827947122 ; 0.00959710220398
1535462355.59 ; -0.219991570829 ; -0.0661048786959 ; -0.00864312404714
1535462356.15 ; -0.307703597184 ; -0.0715048927873 ; -0.0394539229725
1535462356.71 ; 1.13115013512 ; 0.0533608254904 ; -0.0371306569424
1535462357.27 ; -0.871044861253 ; 0.0421709430601 ; -0.00855275304387
1535462357.84 ; 0.453460120029 ; -0.0250901946303 ; -0.00312413632284
1535462358.4 ; -0.746575027163 ; -0.0358420937928 ; -0.0168840222662
1535462358.96 ; 0.423198609029 ; -0.0422628244125 ; -0.0323752070013
1535462359.52 ; 0.482053662183 ; 0.0707778138565 ; -0.0202962943159
1535462360.09 ; -0.311104309652 ; 0.0396185086419 ; 0.00895959440274
1535462360.65 ; -0.380255240243 ; -0.0516073047587 ; 0.00465651889199
1535462361.21 ; 0.173721064155 ; -0.036564291718 ; -0.0167840147169
1535462361.77 ; 0.285332651411 ; 0.0308468022671 ; -0.0153266723542
1535462362.34 ; 0.874990449289 ; 0.11905831626 ; 0.0223604151533
1535462362.9 ; -1.09114808358 ; 0.0194218339758 ; 0.0510891528567
1535462363.46 ; 0.599482734166 ; -0.0396179625908 ; 0.037841002958
1535462364.02 ; -0.185267088973 ; 0.0256254124505 ; 0.0282547763954
1535462364.59 ; 0.607145529111 ; 0.0480917847289 ; 0.0408226244343
1535462365.15 ; -0.941373981765 ; -0.0153024326966 ; 0.0417036398367
1535462365.71 ; 0.516299242729 ; -0.0449503684258 ; 0.0206317079103
1535462366.27 ; -0.0577111016277 ; 0.0280073415981 ; 0.0132222380095
1535462366.84 ; 0.442724511224 ; 0.0454298850379 ; 0.0282299512427
1535462367.4 ; -0.402796181273 ; 0.0188864506034 ; 0.0385985957838
1535462367.96 ; -0.414653301061 ; -0.0703379367626 ; 0.0201069428726
1535462368.52 ; 1.5878298749 ; 0.0865360150091 ; 0.0205520960677
1535462369.09 ; -0.979502134181 ; 0.0858747345261 ; 0.0575345741345
1535462369.65 ; 0.119680165267 ; -0.0519795372902 ; 0.0558892848057
1535462370.21 ; -0.119984250022 ; -0.0173550197233 ; 0.0303244891442
1535462370.77 ; 0.21051717123 ; 0.00270222814923 ; 0.0218362512994
1535462371.34 ; 0.0556706924434 ; 0.0258550933662 ; 0.0248897940551
1535462371.9 ; -0.101300568003 ; 0.00434075400441 ; 0.0278183318062
1535462372.46 ; -0.127720390982 ; -0.0200232326739 ; 0.0195064588243
1535462373.02 ; 0.135415680006 ; -0.00595300598315 ; 0.0101674414056
1535462373.59 ; 0.348484576545 ; 0.0433799485027 ; 0.0172445435107
1535462374.15 ; -0.529824853884 ; -0.00254006287788 ; 0.0239419603243
1535462374.71 ; 0.153442201311 ; -0.0361316190702 ; 0.0108882001733
1535462375.27 ; -0.206074148206 ; -0.0169779611893 ; -0.00337366203173
1535462375.84 ; 0.298515383695 ; 0.00300676626105 ; -0.00608577835633
1535462376.4 ; -0.139023513654 ; 0.015954193615 ; -0.000627633194002
1535462376.96 ; -0.00303593188795 ; -0.00799951172696 ; 0.00134128136589
1535462377.52 ; -0.112670179898 ; -0.0135137587835 ; -0.00392434854394
1535462378.09 ; 0.362401252889 ; 0.018906788877 ; -0.00200634831407
1535462378.65 ; 0.0748760742541 ; 0.0472954138014 ; 0.0138435792773
1535462379.21 ; -0.385595532926 ; -0.0133639223412 ; 0.0194887666785
1535462379.77 ; -0.287353824734 ; -0.0675418514405 ; -0.00272111333451
1535462380.34 ; 1.20387427745 ; 0.0634067827445 ; -0.00323671666535
1535462380.9 ; -0.776901915506 ; 0.0611630485686 ; 0.0264979117083
1535462381.46 ; 0.0505200142572 ; -0.0477086865097 ; 0.0252348696475
1535462382.02 ; -0.23642821922 ; -0.0333310731477 ; 0.00203614527584
1535462382.59 ; 0.409814176377 ; 0.00514411415498 ; -0.00490934317583
1535462383.15 ; 0.0254022189916 ; 0.0425150830897 ; 0.00707868782848
1535462383.71 ; -0.195060722062 ; -0.00173325096973 ; 0.015456824322
1535462384.27 ; -0.30652466664 ; -0.0475999653979 ; 0.00131856230665
1535462384.84 ; 0.521530756034 ; 0.00428952497999 ; -0.00905175986282
1535462385.4 ; 0.33583435476 ; 0.0818048227576 ; 0.0126344768939
1535462385.96 ; -0.953813168187 ; -0.0306716596352 ; 0.022513980184
1535462386.52 ; 0.583859654823 ; -0.0449023389214 ; 0.00105138916674
1535462387.09 ; -0.382991725568 ; 0.00386332342745 ; -0.00874205585295
1535462387.65 ; 0.712190685826 ; 0.0321496799147 ; 0.00115536516652
1535462388.21 ; -0.864211962385 ; -0.00353475209736 ; 0.00766910679458
1535462388.77 ; 0.22005063307 ; -0.0615661228153 ; -0.00886652611605
1535462389.34 ; 0.19928154504 ; 0.0187895009584 ; -0.0174143257878
1535462389.9 ; 0.360152339198 ; 0.0587076705738 ; 0.00365062226822
1535462390.46 ; -0.861129132012 ; -0.0273959374027 ; 0.0103806518371
1535462391.02 ; 0.511596470469 ; -0.0418996105762 ; -0.00759007768402
1535462391.59 ; 0.0886981299746 ; 0.0423098892547 ; -0.00622890770928
1535462392.15 ; 0.13010469723 ; 0.0346152963577 ; 0.0128379114724
1535462392.71 ; -0.477454461411 ; -0.0210249181507 ; 0.0138834369485
1535462393.27 ; -0.117514344807 ; -0.0627843383654 ; -0.00807245611252
1535462393.84 ; 1.03791830599 ; 0.0653566863924 ; -0.00612417415695
1535462394.4 ; -0.888141551056 ; 0.035826686536 ; 0.0186106206911
1535462394.96 ; 0.0684962469089 ; -0.0648970431153 ; 0.00869570523152
1535462395.52 ; 0.111194527008 ; -0.0047866661028 ; -0.00908537988882
1535462396.08 ; 0.154679892828 ; 0.0233290621776 ; -0.00322546923959
1535462396.65 ; -0.091516650447 ; 0.0136977624593 ; 0.00599005765077
1535462397.21 ; -0.096163893343 ; -0.0130285037091 ; 0.00514856664381
1535462397.77 ; 0.0778040323956 ; -0.00606400733267 ; -0.000184168165241
1535462398.33 ; 0.336824463673 ; 0.0368491136534 ; 0.00706160538758
1535462398.9 ; -0.445661641037 ; 0.00207995038829 ; 0.0150083147536
1535462399.46 ; -0.189244146725 ; -0.0588275113866 ; -0.000792925493706
1535462400.02 ; 0.581095437139 ; 0.0171255177862 ; -0.0104343114354
1535462400.58 ; -0.214757800188 ; 0.040051742305 ; 0.00470530296122
1535462401.15 ; -0.305420457437 ; -0.0354141258914 ; 0.00500798245949
1535462401.71 ; 0.494778219427 ; 0.00594701722602 ; -0.00273281533014
1535462402.27 ; -0.796745991834 ; -0.0263263356467 ; -0.00705361322156
1535462402.83 ; 1.48298250605 ; 0.0555571555791 ; 0.000972741713302
1535462403.4 ; -1.36822712062 ; 0.0292771002053 ; 0.0206931495699
1535462403.96 ; 0.148090986006 ; -0.104624268704 ; -0.000414512682284
1535462404.52 ; -0.128249992264 ; -0.0330147222021 ; -0.0326035402384
1535462405.08 ; 0.271217170557 ; 0.00239781108385 ; -0.0343452120873
1535462405.65 ; 0.300981086651 ; 0.0544413335878 ; -0.0152997138533
1535462406.21 ; -0.3826253321 ; 0.0104931124206 ; 0.00246895250857
1535462406.77 ; 0.429154026939 ; 0.0078595677529 ; 0.0063586711134
1535462407.33 ; 0.249318418603 ; 0.0662251648831 ; 0.0226620970249
1535462407.9 ; -0.898169986774 ; -0.0387528458267 ; 0.0253237009482
