%time,Real Time UTC,field.latitude,field.longitude
1.53531199297088E+018,29/08/2018 11:33:13,50.8197250366,-1.3117899895
1.53531199304554E+018,29/08/2018 11:33:13,50.8197250366,-1.3117899895
1.53531199311462E+018,29/08/2018 11:33:13,50.8197250366,-1.3117899895
1.53531199319432E+018,29/08/2018 11:33:13,50.8197250366,-1.3117899895
1.53531199326118E+018,29/08/2018 11:33:13,50.8197250366,-1.3117899895
1.53531199333958E+018,29/08/2018 11:33:13,50.8197250366,-1.3117899895
1.53531199340877E+018,29/08/2018 11:33:13,50.8197250366,-1.3117899895
1.53531199348245E+018,29/08/2018 11:33:13,50.8197250366,-1.3117899895
1.53531199355706E+018,29/08/2018 11:33:14,50.8197250366,-1.3117899895
1.53531199362989E+018,29/08/2018 11:33:14,50.8197250366,-1.3117899895
1.5353119937024E+018,29/08/2018 11:33:14,50.8197250366,-1.3117899895
1.53531199377788E+018,29/08/2018 11:33:14,50.8197250366,-1.3117899895
1.53531199385201E+018,29/08/2018 11:33:14,50.8197250366,-1.3117899895
1.53531199392495E+018,29/08/2018 11:33:14,50.8197250366,-1.3117899895
1.5353119940034E+018,29/08/2018 11:33:14,50.8197250366,-1.3117899895
1.53531199407199E+018,29/08/2018 11:33:14,50.8197250366,-1.3117899895
1.53531199414236E+018,29/08/2018 11:33:14,50.8197250366,-1.3117899895
1.53531199422096E+018,29/08/2018 11:33:14,50.8197250366,-1.3117899895
1.53531199428971E+018,29/08/2018 11:33:14,50.8197250366,-1.3117899895
1.53531199436769E+018,29/08/2018 11:33:14,50.8197250366,-1.3117899895
1.53531199443624E+018,29/08/2018 11:33:14,50.8197250366,-1.3117899895
1.53531199451027E+018,29/08/2018 11:33:15,50.8197250366,-1.3117899895
1.53531199458451E+018,29/08/2018 11:33:15,50.8197250366,-1.3117899895
1.53531199465797E+018,29/08/2018 11:33:15,50.8197250366,-1.3117899895
1.53531199472882E+018,29/08/2018 11:33:15,50.8197250366,-1.3117899895
1.53531199481032E+018,29/08/2018 11:33:15,50.8197174072,-1.3118050098
1.5353119948795E+018,29/08/2018 11:33:15,50.8197174072,-1.3118050098
1.53531199495281E+018,29/08/2018 11:33:15,50.8197174072,-1.3118050098
1.53531199502265E+018,29/08/2018 11:33:15,50.8197174072,-1.3118050098
1.53531199510207E+018,29/08/2018 11:33:15,50.8197174072,-1.3118050098
1.53531199516929E+018,29/08/2018 11:33:15,50.8197174072,-1.3118050098
1.53531199524901E+018,29/08/2018 11:33:15,50.8197174072,-1.3118050098
1.53531199531766E+018,29/08/2018 11:33:15,50.8197174072,-1.3118050098
1.53531199539565E+018,29/08/2018 11:33:15,50.8197174072,-1.3118050098
1.53531199546546E+018,29/08/2018 11:33:15,50.8197174072,-1.3118050098
1.53531199553983E+018,29/08/2018 11:33:16,50.8197174072,-1.3118050098
1.53531199561259E+018,29/08/2018 11:33:16,50.8197174072,-1.3118050098
1.53531199568684E+018,29/08/2018 11:33:16,50.8197174072,-1.3118050098
1.53531199575992E+018,29/08/2018 11:33:16,50.8197174072,-1.3118050098
1.53531199583843E+018,29/08/2018 11:33:16,50.8197174072,-1.3118066788
1.53531199590783E+018,29/08/2018 11:33:16,50.8197174072,-1.3118066788
1.53531199598506E+018,29/08/2018 11:33:16,50.8197174072,-1.3118066788
1.53531199605557E+018,29/08/2018 11:33:16,50.8197174072,-1.3118066788
1.53531199613276E+018,29/08/2018 11:33:16,50.8197174072,-1.3118066788
1.53531199620389E+018,29/08/2018 11:33:16,50.8197174072,-1.3118066788
1.53531199627585E+018,29/08/2018 11:33:16,50.8197174072,-1.3118066788
1.53531199634524E+018,29/08/2018 11:33:16,50.8197174072,-1.3118066788
1.53531199642418E+018,29/08/2018 11:33:16,50.8197174072,-1.3118066788
1.53531199649435E+018,29/08/2018 11:33:16,50.8197174072,-1.3118066788
1.53531199657029E+018,29/08/2018 11:33:17,50.8197174072,-1.3118066788
1.53531199664092E+018,29/08/2018 11:33:17,50.8197174072,-1.3118066788
1.53531199671497E+018,29/08/2018 11:33:17,50.8197174072,-1.3118066788
1.53531199678718E+018,29/08/2018 11:33:17,50.8197174072,-1.3118066788
1.53531199686518E+018,29/08/2018 11:33:17,50.8197174072,-1.3118082285
1.53531199693591E+018,29/08/2018 11:33:17,50.8197174072,-1.3118082285
1.53531199701459E+018,29/08/2018 11:33:17,50.8197174072,-1.3118082285
1.53531199708302E+018,29/08/2018 11:33:17,50.8197174072,-1.3118082285
1.53531199716101E+018,29/08/2018 11:33:17,50.8197174072,-1.3118082285
1.53531199722996E+018,29/08/2018 11:33:17,50.8197174072,-1.3118082285
1.53531199730691E+018,29/08/2018 11:33:17,50.8197174072,-1.3118082285
1.53531199737306E+018,29/08/2018 11:33:17,50.8197174072,-1.3118082285
1.53531199745164E+018,29/08/2018 11:33:17,50.8197174072,-1.3118082285
1.53531199752196E+018,29/08/2018 11:33:18,50.8197174072,-1.3118082285
1.53531199760048E+018,29/08/2018 11:33:18,50.8197174072,-1.3118082285
1.53531199766887E+018,29/08/2018 11:33:18,50.8197174072,-1.3118082285
1.53531199774674E+018,29/08/2018 11:33:18,50.8197174072,-1.3118082285
1.5353119978159E+018,29/08/2018 11:33:18,50.8197174072,-1.3118082285
1.53531199789527E+018,29/08/2018 11:33:18,50.8197174072,-1.3118082285
1.53531199796375E+018,29/08/2018 11:33:18,50.8197174072,-1.3118082285
1.5353119980409E+018,29/08/2018 11:33:18,50.8197174072,-1.3118082285
1.53531199811082E+018,29/08/2018 11:33:18,50.8197174072,-1.3118082285
1.53531199818938E+018,29/08/2018 11:33:18,50.8197174072,-1.3118082285
1.53531199825787E+018,29/08/2018 11:33:18,50.8197174072,-1.3118082285
1.53531199833352E+018,29/08/2018 11:33:18,50.8197174072,-1.3118082285
1.53531199840227E+018,29/08/2018 11:33:18,50.8197174072,-1.3118082285
1.5353119984797E+018,29/08/2018 11:33:18,50.8197174072,-1.3118082285
1.53531199854859E+018,29/08/2018 11:33:19,50.8197174072,-1.3118082285
1.53531199862636E+018,29/08/2018 11:33:19,50.8197174072,-1.3118082285
1.53531199870279E+018,29/08/2018 11:33:19,50.8197174072,-1.3118082285
1.53531199877391E+018,29/08/2018 11:33:19,50.8197174072,-1.3118082285
1.53531199884458E+018,29/08/2018 11:33:19,50.8197174072,-1.3118082285
1.53531199892208E+018,29/08/2018 11:33:19,50.8197174072,-1.3118082285
1.53531199899177E+018,29/08/2018 11:33:19,50.8197174072,-1.3118082285
1.53531199906499E+018,29/08/2018 11:33:19,50.8197174072,-1.3118082285
1.53531199913851E+018,29/08/2018 11:33:19,50.8197174072,-1.3118082285
1.53531199921226E+018,29/08/2018 11:33:19,50.8197174072,-1.3118082285
1.53531199928396E+018,29/08/2018 11:33:19,50.8197174072,-1.3118082285
1.5353119993594E+018,29/08/2018 11:33:19,50.8197174072,-1.3118082285
1.53531199942985E+018,29/08/2018 11:33:19,50.8197174072,-1.3118082285
1.53531199950805E+018,29/08/2018 11:33:20,50.8197174072,-1.3118082285
1.53531199957714E+018,29/08/2018 11:33:20,50.8197174072,-1.3118082285
1.53531199965582E+018,29/08/2018 11:33:20,50.8197174072,-1.3118082285
1.53531199972429E+018,29/08/2018 11:33:20,50.8197174072,-1.3118082285
1.53531199980258E+018,29/08/2018 11:33:20,50.8197174072,-1.3118082285
1.5353119998725E+018,29/08/2018 11:33:20,50.8197174072,-1.3118082285
1.53531199994626E+018,29/08/2018 11:33:20,50.8197174072,-1.3118082285
1.53531200001925E+018,29/08/2018 11:33:20,50.8197174072,-1.3118082285
1.53531200009424E+018,29/08/2018 11:33:20,50.8197174072,-1.3118082285
1.53531200016674E+018,29/08/2018 11:33:20,50.8197174072,-1.3118082285
1.53531200024167E+018,29/08/2018 11:33:20,50.8197174072,-1.3118082285
1.53531200031006E+018,29/08/2018 11:33:20,50.8197174072,-1.3118082285
1.53531200038876E+018,29/08/2018 11:33:20,50.8197174072,-1.3118082285
1.53531200045758E+018,29/08/2018 11:33:20,50.8197174072,-1.3118082285
1.53531200053548E+018,29/08/2018 11:33:21,50.8197174072,-1.3118082285
1.53531200060612E+018,29/08/2018 11:33:21,50.8197174072,-1.3118082285
1.5353120006788E+018,29/08/2018 11:33:21,50.8197174072,-1.3118082285
1.53531200075286E+018,29/08/2018 11:33:21,50.8197174072,-1.3118066788
1.53531200083142E+018,29/08/2018 11:33:21,50.8197174072,-1.3118082285
1.53531200090322E+018,29/08/2018 11:33:21,50.8197174072,-1.3118082285
1.53531200097837E+018,29/08/2018 11:33:21,50.8197174072,-1.3118082285
