%time,Real Time UTC,field.latitude,field.longitude
1.53531168919501E+018,29/08/2018 14:43:09,0,0
1.53531168927376E+018,29/08/2018 14:43:09,0,0
1.53531168933879E+018,29/08/2018 14:43:09,0,0
1.53531168941654E+018,29/08/2018 14:43:09,0,0
1.53531168948529E+018,29/08/2018 14:43:09,0,0
1.53531168956327E+018,29/08/2018 14:43:10,0,0
1.53531168963277E+018,29/08/2018 14:43:10,0,0
1.53531168970745E+018,29/08/2018 14:43:10,0,0
1.53531168977674E+018,29/08/2018 14:43:10,0,0
1.53531168985014E+018,29/08/2018 14:43:10,0,0
1.53531168992059E+018,29/08/2018 14:43:10,0,0
1.53531168999704E+018,29/08/2018 14:43:10,0,0
1.53531169006745E+018,29/08/2018 14:43:10,0,0
1.53531169014551E+018,29/08/2018 14:43:10,0,0
1.53531169021472E+018,29/08/2018 14:43:10,0,0
1.53531169029352E+018,29/08/2018 14:43:10,0,0
1.53531169036352E+018,29/08/2018 14:43:10,0,0
1.53531169043637E+018,29/08/2018 14:43:10,0,0
1.53531169050581E+018,29/08/2018 14:43:11,0,0
1.53531169058322E+018,29/08/2018 14:43:11,0,0
1.53531169065252E+018,29/08/2018 14:43:11,0,0
1.53531169072684E+018,29/08/2018 14:43:11,0,0
1.53531169079576E+018,29/08/2018 14:43:11,0,0
1.53531169087361E+018,29/08/2018 14:43:11,0,0
1.53531169094336E+018,29/08/2018 14:43:11,0,0
1.53531169101832E+018,29/08/2018 14:43:11,0,0
1.53531169108665E+018,29/08/2018 14:43:11,0,0
1.53531169116851E+018,29/08/2018 14:43:11,0,0
1.53531169123469E+018,29/08/2018 14:43:11,0,0
1.53531169130813E+018,29/08/2018 14:43:11,0,0
1.53531169137851E+018,29/08/2018 14:43:11,0,0
1.53531169145558E+018,29/08/2018 14:43:11,0,0
1.53531169152665E+018,29/08/2018 14:43:12,0,0
1.53531169160029E+018,29/08/2018 14:43:12,0,0
1.53531169166945E+018,29/08/2018 14:43:12,0,0
1.53531169174763E+018,29/08/2018 14:43:12,0,0
1.53531169181646E+018,29/08/2018 14:43:12,0,0
1.53531169188941E+018,29/08/2018 14:43:12,0,0
1.53531169196335E+018,29/08/2018 14:43:12,0,0
1.53531169203786E+018,29/08/2018 14:43:12,0,0
1.53531169212799E+018,29/08/2018 14:43:12,50.819026947,-8.0000553131
1.53531169220434E+018,29/08/2018 14:43:12,50.819026947,-8.0000553131
