latitude,longitude,datetime
50.820854269,-1.312579159,2018-08-29T15:10:08.124219
50.820854269,-1.312579159,2018-08-29T15:10:09.126565
50.820854269,-1.312579159,2018-08-29T15:10:10.134220
50.820854269,-1.312579159,2018-08-29T15:10:11.141156
50.820854428,-1.312564972,2018-08-29T15:10:12.142390
50.820854428,-1.312564972,2018-08-29T15:10:13.148524
50.820854428,-1.312564972,2018-08-29T15:10:14.150519
50.820854428,-1.312564972,2018-08-29T15:10:15.152782
50.820854588,-1.312550785,2018-08-29T15:10:16.155548
50.820854588,-1.312550785,2018-08-29T15:10:17.157852
50.820854588,-1.312550785,2018-08-29T15:10:18.164477
50.820854588,-1.312550785,2018-08-29T15:10:19.167180
50.820854588,-1.312550785,2018-08-29T15:10:20.169005
50.820854748,-1.312536598,2018-08-29T15:10:21.170485
50.820854748,-1.312536598,2018-08-29T15:10:22.172190
50.820854748,-1.312536598,2018-08-29T15:10:23.176866
50.820854907,-1.312522411,2018-08-29T15:10:24.181694
50.820854907,-1.312522411,2018-08-29T15:10:25.185579
50.820854907,-1.312522411,2018-08-29T15:10:26.187817
50.820855067,-1.312508224,2018-08-29T15:10:27.189266
50.820855067,-1.312508224,2018-08-29T15:10:28.192288
50.820855067,-1.312508224,2018-08-29T15:10:29.194175
50.820860905,-1.312494036,2018-08-29T15:10:30.195472
50.820860905,-1.312494036,2018-08-29T15:10:31.196750
50.820861065,-1.312479849,2018-08-29T15:10:32.198056
50.820861065,-1.312479849,2018-08-29T15:10:33.199371
50.820855386,-1.312479849,2018-08-29T15:10:34.201334
50.820855546,-1.312465662,2018-08-29T15:10:35.202632
50.820861224,-1.312465662,2018-08-29T15:10:36.203937
50.820861384,-1.312451475,2018-08-29T15:10:37.207232
50.820861384,-1.312451475,2018-08-29T15:10:38.208541
50.820861544,-1.312437288,2018-08-29T15:10:39.210148
50.820861703,-1.312423101,2018-08-29T15:10:40.211761
50.820861703,-1.312423101,2018-08-29T15:10:41.214899
50.820854897,-1.312408589,2018-08-29T15:10:42.216482
50.820854737,-1.312422776,2018-08-29T15:10:43.220525
50.820849058,-1.312422776,2018-08-29T15:10:44.222544
50.820849058,-1.312422776,2018-08-29T15:10:45.226735
50.820836413,-1.312422451,2018-08-29T15:10:46.228982
50.820836253,-1.312436638,2018-08-29T15:10:47.235169
50.820836253,-1.312436638,2018-08-29T15:10:48.237047
50.820836253,-1.312436638,2018-08-29T15:10:49.238979
50.820830415,-1.312450825,2018-08-29T15:10:50.241539
50.820830415,-1.312450825,2018-08-29T15:10:51.242555
50.820823449,-1.3124505,2018-08-29T15:10:52.244721
50.820823289,-1.312464687,2018-08-29T15:10:53.247552
50.820823289,-1.312464687,2018-08-29T15:10:54.249679
50.820823289,-1.312464687,2018-08-29T15:10:55.252810
50.820823129,-1.312478874,2018-08-29T15:10:56.255254
50.820817451,-1.312478874,2018-08-29T15:10:57.257361
50.820817451,-1.312478874,2018-08-29T15:10:58.262782
50.820817291,-1.312493061,2018-08-29T15:10:59.264353
50.820817291,-1.312493061,2018-08-29T15:11:00.265199
50.820811612,-1.312493061,2018-08-29T15:11:01.266986
50.820811612,-1.312493061,2018-08-29T15:11:02.268512
50.820811453,-1.312507248,2018-08-29T15:11:03.269671
50.820811453,-1.312507248,2018-08-29T15:11:04.271475
50.820805774,-1.312507248,2018-08-29T15:11:05.273060
50.820805614,-1.312521435,2018-08-29T15:11:06.274497
50.820798648,-1.31252111,2018-08-29T15:11:07.276714
50.820798648,-1.31252111,2018-08-29T15:11:08.278121
50.820798648,-1.31252111,2018-08-29T15:11:09.280810
50.820798488,-1.312535297,2018-08-29T15:11:10.283262
50.820798488,-1.312535297,2018-08-29T15:11:11.284719
50.820798488,-1.312535297,2018-08-29T15:11:12.286880
